City Abreviation,City,State,(City),Site Type,"Site Type (1 = District, 2 = State)",Year,"Yearnum ""1=1995, 13=2019""",Analysis Weight,Analysis Stratum,"PSU ""Analysis primary sampling unit""",Record ID,"age ""1= 10 years, 7=16+ years old""","sex ""1=Female 2= Male""","grade ""1=6th, 3=8th grade""","race4 ""4-level race variable""","q6 ""Bicycle helmet use""","q7 ""Rollerblading helmet use""","q8 ""Seat belt use""",NA10,"q10  ""Weapon Carrying""",NA11,"q11 ""Physical Fighting""","q13 ""Electronic Bullying""","q14 ""Suicide consideration""","q15 ""Suicide plan""","q16 ""Attempted suicide""","q17 ""Ever cigarette use""","q18 ""Initiation of cigarette use""","q19 ""Current cigarette use""","q20 ""Smoked >10 cigarettes""","q21 ""Electronic vapor product use""","q22 ""Current electronic vapor use""","q23 ""EVP from store""","q24 ""Current smokeless tobacco use""","q25 ""Current cigar use""","q26 ""Ever alcohol use""","q27 ""Initiation of alcohol use""","q28 ""Ever marijuana use""","q29 ""Initiation of marijuana use""","q30 ""Ever prescription pain medicine use""","q31 ""Ever cocaine use""","q32 ""Ever inhalant use""","q33 ""Ever steriod use""","q34 ""Ever sexual intercourse""","q35 ""Sex before 11 years""","q36 ""Multiple sex partners""","q37 ""Condom use""","q38 ""Perception of weight""","q39 ""Weight loss""","q40 ""Breakfast eating""","q41 ""Physical activity >= 5 days""","q42 ""Television watching""","q43 ""Computer use""","q44 ""PE attendance""","q45 ""Sports team participation""","q46 ""Concussion""","q47 ""Asthma""","q48 ""Hours of sleep on school night""","q49 ""Grades in school""","qn6 ""Never or rarely wore a bicycle helmet""","qn7 ""Never or rarely wore a helmet when rollerblading or skateboarding""","qn8 ""Never or rarely wore a seat belt""","qn9 ""Rode with a driver who had been drinking alcohol""","qn10 ""Carried a weapon""","qn11 ""Were in a physical fight""","qn12 ""Were bullied on school property""","qn13 ""Were electronically bullied""","qn14 ""Seriously thought about killing themselves""","qn15 ""Made a plan about how they would kill themselves""","qn16 ""Tried to kill themselves""","qn17 ""Ever tried cigarette smoking""","qn18 ""Tried cigarette smoking for the first time before age 11 years""","  qn19 ""Currently smoked cigarettes""","qn20 ""Smoked more than 10 cigarettes per day""","qn21 ""Ever used an electronic vapor product""","qn22 ""Currently used an electronic vapor product""","qn23 ""Usually got their own electronic vapor products by buying them in a store""","qn24 ""Currently used smokeless tobacco""","qn25 ""Currently smoked cigars""","qn26 ""Ever drank alcohol""","qn27 ""Drank alcohol for the first time before age 11 years""","qn28 ""Ever used marijuana""","qn29 ""Tried marijuana for the first time before age 11 years""","qn30 ""Ever took prescription pain medicine without a doctor's prescription or differently than how a doctor told them to use it""","qn31 ""Ever used cocaine"" qn32 ""Ever used inhalants""","qn33 ""Ever took steriods without a doctor's prescription""","qn34 ""Ever had sexual intercourse""","qn35 ""Had sexual intercourse for the first time before age 11 years""","qn36 ""Had sexual intercourse with three or more persons""","qn37 ""Used a condom during last sexual intercourse""","qn38 ""Described themselves as slightly or very overweight"" qn39 ""Were trying to lose weight""","qn40 ""Did not eat breakfast"" qn41 ""Were physically active at least 60 minutes per day on 5 or more days""","qn42 ""Watched television 3 or more hours per day""","qn43 ""Played video or computer games or used a computer 3 or more hours per day""","qn44 ""Attended physical education classes on 1 or more days""","qn45 ""Played on at least one sports team""","qn46 ""Had a concussion from playing a sport or being active""","qn47 ""Had ever been told by a doctor or nurse that they had asthma""","qn48 ""Had 8 or more hours of sleep""","qn49 ""Made mostly A's or B's in school"""
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,6.8689,9,9,483585,4,2,1,4,,2,22,12 2,1,2  2,2,NA,NA,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,5.4478,7,1,483594,3,2,2,4,,2,22,12 2,1,2  2,2,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,5.4478,7,1,483612,3,2,2,4,,2,22,12 2,1,2,2,1,1,2,2,NA,NA,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,7.5616,7,2,483630,3,1,3,3,,2,22,1  1,1,2  2,2,NA,2,1,NA,NA,NA,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,5.8477,15,1,483639,5,1,3,3,,2,22,12 2,1,2  2,2,1,NA,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,5.8477,15,1,483648,4,1,3,2,,1,12,11 2,1,2  2,2,1,NA,2,1,NA,NA,NA,NA,1,1,2,1,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,7.2781,7,2,483657,4,2,3,3,,1,,11 2,1,2,2,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,7.5616,7,3,483666,5,1,3,3,,2,22,11 2,1,2  2,2,2,NA,1,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,7.5616,7,3,483675,5,1,3,3,,2,22,1  1,1,2  2,2,1,1,2,2,NA,NA,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,6.9964,11,3,483693,2,2,1,2,,2,22,12 2,1,2  2,2,1,NA,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,6.0086,7,4,483702,3,2,2,3,,1,22,21 1,2,2  2,2,1,1,2,1,NA,NA,NA,NA,1,2,2,1,NA,1,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,7.82,15,2,483720,3,1,2,3,,2,22,12 2,1,2  2,2,1,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,6.9964,11,3,483729,2,2,1,3,,2,22,12 2,1,2  2,2,2,1,2,2,NA,NA,NA,NA,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,5.3617,17,1,483738,2,1,1,2,,2,12,12 2,1,2  2,2,NA,1,2,NA,NA,NA,NA,NA,2,1,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,5.3617,17,1,483747,2,1,1,NA,,2,22,12 2,1,2  2,2,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,4.2715,11,4,483756,4,2,2,3,,1,12,12 2,1,2,2,NA,NA,2,1,NA,NA,NA,NA,1,1,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,7.82,15,2,483783,4,1,2,3,,2,22,11 2,1,2  2,2,2,NA,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,4.0229,11,4,483792,3,1,2,3,,2,22,11 2,1,2  2,2,NA,1,2,1,NA,NA,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,8.0239,17,3,483801,5,2,3,3,,2,22,41 2,4,2  1,2,1,1,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,2,NA,NA,1,NA,NA,1,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,4.2715,11,4,483810,3,2,2,3,,2,22,1  2,1,2  2,2,1,1,2,2,NA,NA,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,4.5923,10,1,483819,2,1,1,3,,1,22,11,1,2  1,2,1,1,1,1,NA,NA,NA,NA,1,2,2,1,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,4.5307,11,5,483828,5,1,3,3,,2,22,12 2,1,2  2,2,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,5.9562,10,1,483837,2,2,1,4,,2,22,1  1,1,2  2,2,1,1,2,2,NA,NA,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,1,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,8.3034,15,3,483855,3,2,2,3,,2,22,12 2,1,2  2,2,NA,NA,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,6.0934,10,2,483864,7,2,4,NA,,2,12,71 2,7,1  1,1,2,1,1,2,NA,NA,NA,NA,2,1,2,1,NA,1,1,NA,NA,NA,NA,1,1,NA,2,NA,NA,1,NA,NA,1,NA,NA,2,2,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,4.643,11,5,483873,4,2,NA,4,,2,22,12 2,1,2  2,2,1,NA,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,6.5373,10,2,483882,3,2,2,4,,2,22,12 2,1,2  2,2,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,4.3608,11,5,483891,5,2,3,1,,2,22,12 2,1,2  2,2,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,6.2464,10,3,483909,2,1,3,4,,2,22,12 2,1,2  2,2,NA,1,1,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
SF,San Fran,cis,"co, CA (SF)",District,1,1999,3,6.9746,4,6,483936,3,2,1,4,,2,22,12 2,1,2  2,2,2,NA,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,10.7884,15,4,32046,5,1,3,2,21,2,22,12 2,1,2  2,2,7  NA,NA,2,2,2,1,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,2,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,10.4447,23,5,32055,5,2,3,3,21,2,22,12 2,1,2  2,2,3  1,1,2,2,2,1,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,8.6842,12,1,32064,4,1,3,3,21,2,22,11 1,1,2  2,2,2  NA,1,2,1,2,1,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,8.2812,24,3,32073,5,2,3,3,11,2,22,21 2,2,2  2,2,3  1,NA,1,1,1,1,NA,NA,2,2,2,1,NA,1,2,NA,NA,NA,NA,1,1,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,2,2,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,2.5284,21,1,32082,5,1,3,4,22,1,12,11 2,1,1  2,1,1  1,1,2,1,2,2,NA,NA,1,1,2,1,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,1,1,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,10.8561,20,2,32091,5,2,3,2,11,2,22,11 2,1,2  1,2,2  1,1,2,2,1,1,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,NA,NA,1,NA,NA,1,2,2,NA,NA,1,NA,2,NA,NA,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,2.6864,16,2,32100,5,1,3,4,11,1,22,12 2,1,2  2,2,2  1,1,2,2,1,1,NA,NA,1,2,2,1,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,5.0658,25,4,32118,5,1,3,3,22,2,22,11 2,1,2  2,2,2  1,1,2,2,2,2,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,5.8263,18,2,32127,5,1,3,2,21,2,22,12 2,1,2  2,2,1  1,1,2,2,2,1,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,2,NA,1,NA,NA,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,8.9105,21,4,32136,7,2,3,1,11,2,22,11 1,1,1  1,1,7  NA,NA,1,2,1,1,NA,NA,2,2,2,1,NA,1,2,NA,NA,NA,NA,2,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,2,2,NA,NA,2,NA,2,NA,NA,NA,NA,2,1,1,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,2.5135,23,6,32145,6,2,3,4,21,2,12,12 2,1,2  1,2,1  1,1,2,1,2,1,NA,NA,2,1,2,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,1,NA,NA,2,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,5.0658,21,4,32154,5,1,3,3,11,1,22,31 1,3,1  1,1,7  NA,1,2,1,1,1,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,2,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,7.8801,23,5,32172,5,1,3,3,22,2,22,12 2,1,2  2,2,2  1,1,2,2,2,2,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
DA,"Dallas,",TX,(DA),District,1,2001,4,5.732,24,4,32181,5,1,3,2,21,2,22,11 2,1,2  2,2,2  1,NA,2,1,2,1,NA,NA,2,2,2,1,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
